ScenarioRow,MatrixVerdict,ZipExists,PDF_FamilyName,PDF_A_Number_or_PassportRef,PDF_CityBirth,PDF_ProvinceBirth
initial_online_ead_yes__en__desktop__normal,PASS,True,True,True,True,True
initial_online_ead_yes__en__desktop__owner,PASS,True,True,True,True,True
initial_online_ead_yes__en__mobile__normal,PASS,True,True,True,True,True
initial_online_ead_yes__en__mobile__owner,PASS,True,True,True,True,True
initial_online_ead_yes__ru__desktop__normal,PASS,True,True,True,True,True
initial_online_ead_yes__ru__desktop__owner,PASS,True,True,True,True,True
initial_online_ead_yes__ru__mobile__normal,PASS,True,True,True,True,True
initial_online_ead_yes__ru__mobile__owner,PASS,True,True,True,True,True
initial_paper_ead_yes__en__desktop__normal,PASS,True,True,True,True,True
initial_paper_ead_yes__en__desktop__owner,PASS,True,True,True,True,True
initial_paper_ead_yes__en__mobile__normal,PASS,True,True,True,True,True
initial_paper_ead_yes__en__mobile__owner,PASS,True,True,True,True,True
initial_paper_ead_yes__ru__desktop__normal,PASS,True,True,True,True,True
initial_paper_ead_yes__ru__desktop__owner,PASS,True,True,True,True,True
initial_paper_ead_yes__ru__mobile__normal,PASS,True,True,True,True,True
initial_paper_ead_yes__ru__mobile__owner,PASS,True,True,True,True,True
rereg_paper_ead_yes__en__desktop__normal,PASS,True,True,True,True,True
rereg_paper_ead_yes__en__desktop__owner,PASS,True,True,True,True,True
rereg_paper_ead_yes__en__mobile__normal,PASS,True,True,True,True,True
rereg_paper_ead_yes__en__mobile__owner,PASS,True,True,True,True,True
rereg_paper_ead_yes__ru__desktop__normal,PASS,True,True,True,True,True
rereg_paper_ead_yes__ru__desktop__owner,PASS,True,True,True,True,True
rereg_paper_ead_yes__ru__mobile__normal,PASS,True,True,True,True,True
rereg_paper_ead_yes__ru__mobile__owner,PASS,True,True,True,True,True
rereg_noead__en__desktop__normal,PASS,True,True,True,True,False
rereg_noead__en__desktop__owner,PASS,True,True,True,True,False
rereg_noead__en__mobile__normal,PASS,True,True,True,True,False
rereg_noead__en__mobile__owner,PASS,True,True,True,True,False
rereg_noead__ru__desktop__normal,PASS,True,True,True,True,False
rereg_noead__ru__desktop__owner,PASS,True,True,True,True,False
rereg_noead__ru__mobile__normal,PASS,True,True,True,True,False
rereg_noead__ru__mobile__owner,PASS,True,True,True,True,False
